System.TimeCreated_attributes.SystemTime,EventData.Address,EventData.AddressLength,EventData.Binary,EventData.QueryName,EventData.TSId,EventData.UserSid,EventData.param1,EventData.param2,System.Channel,System.Computer,System.Correlation,System.EventID,System.EventID_attributes.Qualifiers,System.EventRecordID,System.Execution_attributes.ProcessID,System.Execution_attributes.ThreadID,System.Keywords,System.Level,System.Opcode,System.Provider_attributes.EventSourceName,System.Provider_attributes.Guid,System.Provider_attributes.Name,System.Security,System.Security_attributes.UserID,System.Task,System.Version
2023-02-10T07:30:06.040065Z,,,440073006D005300760063002F0034000000,,,,Device Setup Manager,running,System,WIN-4CKB6CSHOSJ,,7036,16384,897,676,2860,0x8080000000000000,4,0,Service Control Manager,{555908d1-a6d7-4695-8e1e-26931d2012f4},Service Control Manager,,,0,0
2023-02-10T07:30:06.633434Z,,,41007000700058005300760063002F0034000000,,,,AppX Deployment Service (AppXSVC),running,System,WIN-4CKB6CSHOSJ,,7036,16384,898,676,2084,0x8080000000000000,4,0,Service Control Manager,{555908d1-a6d7-4695-8e1e-26931d2012f4},Service Control Manager,,,0,0
2023-02-10T07:30:07.838699Z,,,,,2,S-1-5-21-2015006658-2617748372-1685106364-1000,,,System,WIN-4CKB6CSHOSJ,,7001,,899,5620,3424,0x2000200000000000,4,0,,DBE9B383-7CF3-4331-91CC-A3CB16A3B538,Microsoft-Windows-Winlogon,,S-1-5-18,1101,0
2023-02-10T07:30:08.399326Z,,,43004400500055007300650072005300760063005F003300330033003800640061002F0034000000,,,,Connected Devices Platform User Service_3338da,running,System,WIN-4CKB6CSHOSJ,,7036,16384,900,676,2860,0x8080000000000000,4,0,Service Control Manager,{555908d1-a6d7-4695-8e1e-26931d2012f4},Service Control Manager,,,0,0
2023-02-10T07:30:08.461624Z,,,570070006E00550073006500720053006500720076006900630065005F003300330033003800640061002F0034000000,,,,Windows Push Notifications User Service_3338da,running,System,WIN-4CKB6CSHOSJ,,7036,16384,901,676,2860,0x8080000000000000,4,0,Service Control Manager,{555908d1-a6d7-4695-8e1e-26931d2012f4},Service Control Manager,,,0,0
2023-02-10T07:30:09.212276Z,,,77006C00690064007300760063002F0034000000,,,,Microsoft Account Sign-in Assistant,running,System,WIN-4CKB6CSHOSJ,,7036,16384,902,676,2084,0x8080000000000000,4,0,Service Control Manager,{555908d1-a6d7-4695-8e1e-26931d2012f4},Service Control Manager,,,0,0
2023-02-10T07:30:54.925211Z,,,4100700070004D0067006D0074002F0034000000,,,,Application Management,running,System,WIN-4CKB6CSHOSJ,,7036,16384,903,676,2860,0x8080000000000000,4,0,Service Control Manager,{555908d1-a6d7-4695-8e1e-26931d2012f4},Service Control Manager,,,0,0
2023-02-10T07:30:54.940812Z,,,440073006D005300760063002F0031000000,,,,Device Setup Manager,stopped,System,WIN-4CKB6CSHOSJ,,7036,16384,904,676,2860,0x8080000000000000,4,0,Service Control Manager,{555908d1-a6d7-4695-8e1e-26931d2012f4},Service Control Manager,,,0,0
2023-02-10T07:31:53.885942Z,,,7300700070007300760063002F0034000000,,,,Software Protection,running,System,WIN-4CKB6CSHOSJ,,7036,16384,905,676,4268,0x8080000000000000,4,0,Service Control Manager,{555908d1-a6d7-4695-8e1e-26931d2012f4},Service Control Manager,,,0,0
2023-02-10T07:32:24.420719Z,,,7300700070007300760063002F0031000000,,,,Software Protection,stopped,System,WIN-4CKB6CSHOSJ,,7036,16384,906,676,2084,0x8080000000000000,4,0,Service Control Manager,{555908d1-a6d7-4695-8e1e-26931d2012f4},Service Control Manager,,,0,0
2023-02-10T07:32:29.550375Z,,,57006100610053004D0065006400690063005300760063002F0034000000,,,,Windows Update Medic Service,running,System,WIN-4CKB6CSHOSJ,,7036,16384,907,676,2084,0x8080000000000000,4,0,Service Control Manager,{555908d1-a6d7-4695-8e1e-26931d2012f4},Service Control Manager,,,0,0
